scene,draw,t_start,t_end,target_x,target_y,duration,result
ycb_clutter,draw2,50.386,51.313,0.6168645987,0.06311386602,0.9,reached_or_switched
ycb_clutter,draw2,51.584,52.685,0,0,1.1,reached_or_switched
ycb_clutter,draw2,52.891,53.889,0,0,1.0,reached_or_switched
ycb_clutter,draw2,54.617,55.67,0,0,1.1,reached_or_switched
ycb_clutter,draw2,56.44,57.379,0,0,0.9,reached_or_switched
ycb_clutter,draw2,57.936,59.078,0,0,1.1,reached_or_switched
ycb_clutter,draw2,60.245,61.244,0,0,1.0,reached_or_switched
ycb_clutter,draw2,61.81,63.058,0,0,1.2,reached_or_switched
ycb_clutter,draw2,63.766,64.736999,0.6274417132,0.05213395199,1.0,reached_or_switched
ycb_clutter,draw2,64.903,65.854,0,0,1.0,reached_or_switched
ycb_clutter,draw2,66.187,67.157,0,0,1.0,reached_or_switched
ycb_clutter,draw2,67.493,68.537,0,0,1.0,reached_or_switched
ycb_clutter,draw2,68.942,69.977,0,0,1.0,reached_or_switched
ycb_clutter,draw2,70.673,71.733,0,0,1.1,reached_or_switched
ycb_clutter,draw2,72.192,73.406,0.6087187936,0.02094896815,1.2,reached_or_switched
ycb_clutter,draw2,74.342,75.439,0,0,1.1,reached_or_switched
ycb_clutter,draw2,77.873,79.902,0,0,2.0,reached_or_switched
ycb_clutter,draw2,81.86,82.986,0.490473649,-0.1761261801,1.1,reached_or_switched
ycb_clutter,draw2,84.903,86.318,0.5985220161,-0.1134760148,1.4,reached_or_switched
ycb_clutter,draw2,88.677,90.328,0.5091800273,-0.1892245612,1.7,reached_or_switched
ycb_clutter,draw2,92.241,93.906,0.4583458745,-0.1168817806,1.7,reached_or_switched
ycb_clutter,draw2,95.935,97.666,0,0,1.7,reached_or_switched
ycb_clutter,draw2,99.649,101.383,0,0,1.7,reached_or_switched
ycb_clutter,draw2,103.443,105.181,0,0,1.7,reached_or_switched
ycb_clutter,draw2,107.149,108.917,0,0,1.8,reached_or_switched
ycb_clutter,draw2,111.853,113.757,0,0,1.9,reached_or_switched
ycb_clutter,draw2,114.679,115.754,0,0,1.1,reached_or_switched
ycb_clutter,draw2,118.005,119.594,0,0,1.6,reached_or_switched
ycb_clutter,draw2,121.972,123.189,0,0,1.2,reached_or_switched
ycb_clutter,draw2,125.009,126.106,0,0,1.1,reached_or_switched
ycb_clutter,draw2,127.912,129.543,0,0,1.6,reached_or_switched
ycb_clutter,draw2,131.289999,132.441,0,0,1.2,reached_or_switched
ycb_clutter,draw2,134.241,135.517,0,0,1.3,reached_or_switched
ycb_clutter,draw2,137.321,138.724,0,0,1.4,reached_or_switched
ycb_clutter,draw2,140.456,141.311,0,0,0.9,reached_or_switched
ycb_clutter,draw2,143.137,145.132,0,0,2.0,reached_or_switched
ycb_clutter,draw2,147.765,149.148,0,0,1.4,reached_or_switched
ycb_clutter,draw2,150.977,152.025,0,0,1.0,reached_or_switched
ycb_clutter,draw2,153.849,155.361,0,0,1.5,reached_or_switched
ycb_clutter,draw2,157.174,158.183,0,0,1.0,reached_or_switched
ycb_clutter,draw2,159.949,161.844,0,0,1.9,reached_or_switched
ycb_clutter,draw2,163.551,164.871,0,0,1.3,reached_or_switched
ycb_clutter,draw2,166.192,167.721,0,0,1.5,reached_or_switched
ycb_clutter,draw2,169.504,171.202,0,0,1.7,reached_or_switched
ycb_clutter,draw2,175.902,177.392,0,0,1.5,reached_or_switched
ycb_clutter,draw2,179.168,181.076,0,0,1.9,reached_or_switched
ycb_clutter,draw2,182.761,184.608,0,0,1.8,reached_or_switched
ycb_clutter,draw2,186.356,188.024,0,0,1.7,reached_or_switched
ycb_clutter,draw2,189.679,191.009,0,0,1.3,reached_or_switched
ycb_clutter,draw2,192.681,194.06,0,0,1.4,reached_or_switched
ycb_clutter,draw2,195.757,197.533,0,0,1.8,reached_or_switched
ycb_clutter,draw2,199.347,200.625,0,0,1.3,reached_or_switched
ycb_clutter,draw2,202.406,203.882,0,0,1.5,reached_or_switched
ycb_clutter,draw2,205.664,207.452,0,0,1.8,reached_or_switched
ycb_clutter,draw2,210.201,211.513,0,0,1.3,reached_or_switched
ycb_clutter,draw2,213.308,215.11,0,0,1.8,reached_or_switched
ycb_clutter,draw2,216.852,218.243,0,0,1.4,reached_or_switched
ycb_clutter,draw2,220.352,221.947,0,0,1.6,reached_or_switched
ycb_clutter,draw2,224.071,225.756,0,0,1.7,reached_or_switched
ycb_clutter,draw2,227.5,228.686,0,0,1.2,reached_or_switched
ycb_clutter,draw2,230.764,232.395,0,0,1.6,reached_or_switched
ycb_clutter,draw2,234.109,234.982,0,0,0.9,reached_or_switched
ycb_clutter,draw2,236.6,237.871,0,0,1.3,reached_or_switched
ycb_clutter,draw2,239.647,241.159,0,0,1.5,reached_or_switched
ycb_clutter,draw2,242.932,244.325,0,0,1.4,reached_or_switched
ycb_clutter,draw2,246.072,247.225,0,0,1.2,reached_or_switched
ycb_clutter,draw2,248.986,250.304,0,0,1.3,reached_or_switched
ycb_clutter,draw2,252.072,253.27,0,0,1.2,reached_or_switched
ycb_clutter,draw2,255.037,256.781,0,0,1.7,reached_or_switched
ycb_clutter,draw2,257.689,258.638,0.5420472498,-0.2114034626,0.9,reached_or_switched
ycb_clutter,draw2,260.142,261.381,0,0,1.2,reached_or_switched
ycb_clutter,draw2,263.108999,264.997,0,0,1.9,reached_or_switched
ycb_clutter,draw2,270.41,271.67,0,0,1.3,reached_or_switched
ycb_clutter,draw2,273.464,275.093,0,0,1.6,reached_or_switched
ycb_clutter,draw2,276.821,278.209,0.5448829267,-0.1829879815,1.4,reached_or_switched
ycb_clutter,draw2,279.922,281.351,0,0,1.4,reached_or_switched
ycb_clutter,draw2,283.043,284.536,0,0,1.5,reached_or_switched
ycb_clutter,draw2,286.314,287.614,0,0,1.3,reached_or_switched
ycb_clutter,draw2,,,,,,"summary: 0 timeouts, 0 swept vetoes, 0 deadlocks"
icra_sign,draw0,2.123,4.084,0,0,2.0,reached_or_switched
icra_sign,draw0,8.622,10.493,0,0,1.9,reached_or_switched
icra_sign,draw0,13.075,14.105,0,0,1.0,reached_or_switched
icra_sign,draw0,17.2,19.327,0,0,2.1,reached_or_switched
icra_sign,draw0,22.666,24.529,0,0,1.9,reached_or_switched
icra_sign,draw0,25.095,26.414,0,0,1.3,reached_or_switched
icra_sign,draw0,28.419,30.373,0,0,2.0,reached_or_switched
icra_sign,draw0,,,,,,"summary: 0 timeouts, 0 swept vetoes, 0 deadlocks"
icra_sign,draw1,2.106,4.125,0,0,2.0,reached_or_switched
icra_sign,draw1,8.927,10.612,0,0,1.7,reached_or_switched
icra_sign,draw1,14.409,16.530999,0,0,2.1,reached_or_switched
icra_sign,draw1,20.268,22.091,0,0,1.8,reached_or_switched
icra_sign,draw1,22.598,23.985,0.4527100652,0.0639811533,1.4,reached_or_switched
icra_sign,draw1,25.849,27.247,0,0,1.4,reached_or_switched
icra_sign,draw1,,,,,,"summary: 0 timeouts, 0 swept vetoes, 0 deadlocks"
icra_sign,draw2,2.113,4.179999,0,0,2.1,reached_or_switched
icra_sign,draw2,8.759,10.534,0,0,1.8,reached_or_switched
icra_sign,draw2,15.04,17.124,0,0,2.1,reached_or_switched
icra_sign,draw2,20.698,22.499,0,0,1.8,reached_or_switched
icra_sign,draw2,23.798,25.152,0,0,1.4,reached_or_switched
icra_sign,draw2,27.694,28.935,0,0,1.2,reached_or_switched
icra_sign,draw2,29.952,31.396,0.4470212462,-0.3707460903,1.4,reached_or_switched
icra_sign,draw2,33.482,34.382,0.485479299,-0.4449068377,0.9,reached_or_switched
icra_sign,draw2,36.062,37.621,0.4493462551,-0.3236437612,1.6,reached_or_switched
icra_sign,draw2,40.202,41.294,0,0,1.1,reached_or_switched
icra_sign,draw2,43.47,44.815,0.447573973,-0.3490984656,1.3,reached_or_switched
icra_sign,draw2,47.319,48.556,0,0,1.2,reached_or_switched
icra_sign,draw2,50.357,52.158,0,0,1.8,reached_or_switched
icra_sign,draw2,,,,,,"summary: 0 timeouts, 0 swept vetoes, 0 deadlocks"
